estimator,model,loco_r2,loco_mae,n
Sample,M0 w_pre,0.20890349751324555,0.017560052973115203,288
Sample,M1 +Σ,0.18069626892116386,0.021779602277314642,288
Sample,M2 +nonΣ,-0.041603341063730426,0.026216929935940596,288
Sample,M3 GBR,0.09317345379440212,0.019295169699460872,288
LW,M0 w_pre,0.1732739832716288,0.016661763878736666,288
LW,M1 +Σ,0.1426932124908975,0.01954324555131091,288
LW,M2 +nonΣ,-0.17772911787545054,0.02383049578025616,288
LW,M3 GBR,0.1057573049664593,0.01767744723261407,288
Gerber,M0 w_pre,0.38111441224696796,0.01778437117807582,288
Gerber,M1 +Σ,0.36477348650930874,0.021972370214901955,288
Gerber,M2 +nonΣ,0.19181490376452948,0.024792801856297373,288
Gerber,M3 GBR,0.2680763335747727,0.017744895166676853,288
