crisis,estimator,ticker,side,pre_weight_mean,crisis_weight_mean,weight_delta,cohens_d_weight,pre_syst_share,crisis_syst_share,syst_share_delta
GFC,Sample,MO,beneficiary,0.002309,0.041959,0.039650,2.056965,0.210646,0.292678,0.082032
GFC,Sample,JNJ,beneficiary,0.086224,0.244357,0.158134,1.621661,0.172180,0.356632,0.184452
GFC,Sample,CL,beneficiary,0.011597,0.050361,0.038764,1.242644,0.139179,0.310863,0.171684
GFC,Sample,KO,beneficiary,0.006786,0.036051,0.029264,0.993184,0.321880,0.364685,0.042805
GFC,Sample,UNH,beneficiary,0.000003,0.009312,0.009310,0.960426,0.156510,0.203270,0.046760
GFC,Sample,MDLZ,casualty,0.078924,0.013704,-0.065220,-2.568355,0.124835,0.320149,0.195314
GFC,Sample,T,casualty,0.034992,0.000004,-0.034988,-1.888781,0.273683,0.472329,0.198646
GFC,Sample,MSFT,casualty,0.021206,0.000119,-0.021087,-1.613997,0.263985,0.434320,0.170335
GFC,Sample,LMT,casualty,0.036641,0.012391,-0.024249,-1.478119,0.210613,0.320126,0.109513
GFC,Sample,CVX,casualty,0.017353,0.002656,-0.014697,-1.474151,0.209572,0.440346,0.230774
GFC,LW,MO,beneficiary,0.003419,0.049647,0.046228,2.383655,0.210646,0.292678,0.082032
GFC,LW,JNJ,beneficiary,0.072495,0.190425,0.117930,1.822588,0.172180,0.356632,0.184452
GFC,LW,CL,beneficiary,0.016272,0.054826,0.038554,1.313724,0.139179,0.310863,0.171684
GFC,LW,UNH,beneficiary,0.000066,0.010932,0.010866,1.017078,0.156510,0.203270,0.046760
GFC,LW,KO,beneficiary,0.019060,0.044941,0.025880,0.989372,0.321880,0.364685,0.042805
GFC,LW,T,casualty,0.033842,0.000051,-0.033791,-2.952063,0.273683,0.472329,0.198646
GFC,LW,MDLZ,casualty,0.072312,0.022226,-0.050086,-2.225783,0.124835,0.320149,0.195314
GFC,LW,MSFT,casualty,0.023641,0.000168,-0.023473,-2.040209,0.263985,0.434320,0.170335
GFC,LW,VZ,casualty,0.016362,0.000036,-0.016326,-1.643516,0.290141,0.469837,0.179696
GFC,LW,CVX,casualty,0.019472,0.004304,-0.015168,-1.602631,0.209572,0.440346,0.230774
GFC,Gerber,JNJ,beneficiary,0.051792,0.218961,0.167169,1.369890,0.172180,0.356632,0.184452
GFC,Gerber,CL,beneficiary,0.003323,0.053230,0.049907,1.287840,0.139179,0.310863,0.171684
GFC,Gerber,MO,beneficiary,0.000361,0.031346,0.030985,1.129415,0.210646,0.292678,0.082032
GFC,Gerber,UNH,beneficiary,0.000417,0.004130,0.003713,0.920035,0.156510,0.203270,0.046760
GFC,Gerber,XOM,beneficiary,0.000481,0.005039,0.004558,0.888299,0.288068,0.464470,0.176403
GFC,Gerber,MDLZ,casualty,0.102739,0.008610,-0.094130,-2.444309,0.124835,0.320149,0.195314
GFC,Gerber,VZ,casualty,0.028787,0.002862,-0.025924,-1.479412,0.290141,0.469837,0.179696
GFC,Gerber,LMT,casualty,0.034542,0.007368,-0.027174,-1.272156,0.210613,0.320126,0.109513
GFC,Gerber,WMT,casualty,0.046745,0.004209,-0.042536,-1.215351,0.258824,0.427528,0.168704
GFC,Gerber,MSFT,casualty,0.031969,0.002779,-0.029191,-1.192754,0.263985,0.434320,0.170335
COVID,Sample,WMT,beneficiary,0.004955,0.068596,0.063641,2.387710,0.216773,0.302095,0.085322
COVID,Sample,VZ,beneficiary,0.003649,0.250615,0.246966,1.852973,0.167329,0.341359,0.174030
COVID,Sample,CHTR,beneficiary,0.000291,0.045319,0.045028,1.511139,0.195653,0.413405,0.217753
COVID,Sample,AMZN,beneficiary,0.002629,0.077425,0.074797,1.446723,0.392521,0.420286,0.027765
COVID,Sample,BMY,beneficiary,0.006569,0.116072,0.109503,1.399630,0.213477,0.381220,0.167743
COVID,Sample,SLB,casualty,0.032922,0.001796,-0.031126,-2.996009,0.256957,0.466080,0.209123
COVID,Sample,DUK,casualty,0.165635,0.045094,-0.120541,-1.889494,0.020849,0.389015,0.368165
COVID,Sample,TGT,casualty,0.013124,0.000406,-0.012718,-1.815028,0.171719,0.239374,0.067655
