estimator,term,coef,se,t,p
Sample,Intercept,0.011035054351012628,7.087516394319253e-05,155.69705573954485,0.0
Sample,z_beta,-0.014264506148364161,0.00015530640232560257,-91.84750876179835,0.0
Sample,z_avg_corr,-0.0034991594680287676,0.0001020559598214261,-34.28667442990564,1.2398001437181397e-257
Sample,z_liquidity,0.00131971607568838,0.00010529564816620116,12.533434179590296,4.899427623872994e-36
Sample,z_momentum,-0.0020191866448970234,6.43338094576924e-05,-31.386088619933094,3.132815033236667e-216
Sample,decay,-0.003631171744150827,0.0002797731912325746,-12.978983898182886,1.610023099829064e-38
Sample,decay:z_beta,0.004906703435005222,0.000304658393062348,16.1055908740419,2.330610241892532e-58
Sample,decay:z_avg_corr,0.0009426179719871491,0.0004508837718335618,2.0906007953089625,0.03656386440686772
Sample,decay:z_liquidity,-0.0038985422692366183,0.0001958751120924036,-19.903203768927472,3.8173151886844893e-88
Sample,decay:z_momentum,0.002933209635911049,0.0002283354117343209,12.846056656879739,9.050760791304158e-38
LW,Intercept,0.01108169621403807,7.088818154847779e-05,156.32642807263593,0.0
LW,z_beta,-0.013801652396358569,0.00014756627546485824,-93.5285000104602,0.0
LW,z_avg_corr,-0.0034933785365820736,9.432078647182293e-05,-37.03720746248944,2.8855558544064767e-300
LW,z_liquidity,0.0010719559210849655,9.679815021798889e-05,11.074136423794533,1.6748705366158935e-28
LW,z_momentum,-0.0018836959841217365,5.9528443948479713e-05,-31.643628813009546,9.279186209463154e-220
LW,decay,-0.004199916020197501,0.0002776566696256123,-15.126292575145408,1.0864620724492211e-51
LW,decay:z_beta,0.0048542501794705505,0.0002898824863323548,16.745579358337217,6.099374811424066e-63
LW,decay:z_avg_corr,0.0005585161939809241,0.00043094451282814985,1.2960280902883818,0.19496580736402425
LW,decay:z_liquidity,-0.0035298430462847095,0.00017952045815623725,-19.662622759199262,4.5080750133471446e-86
LW,decay:z_momentum,0.0033213224203341414,0.00021620266498112372,15.362079004086839,2.9399348298979775e-53
Gerber,Intercept,0.010749412298003068,4.8440557108385774e-05,221.90934497205,0.0
Gerber,z_beta,-0.010657994258847066,0.00023378549569958777,-45.58877456000304,0.0
Gerber,z_avg_corr,-0.0024960623308004633,9.800557004032276e-05,-25.46857622248919,4.396058692126096e-143
Gerber,z_liquidity,0.0006292553409617066,9.719963680094837e-05,6.473844570534105,9.55401823441694e-11
Gerber,z_momentum,-0.0018739100321817112,8.525404435350985e-05,-21.98030658125093,4.444506240086893e-107
Gerber,decay,-0.001707127790728111,0.00022636176295629185,-7.541590807709603,4.64272604282714e-14
Gerber,decay:z_beta,-0.001173209101730689,0.00045833922444422643,-2.5596960486052667,0.010476374672407742
Gerber,decay:z_avg_corr,0.0028178294341599905,0.0004637103286001919,6.0767018985024706,1.226795165169761e-09
Gerber,decay:z_liquidity,-0.002774282166318024,0.00020921348653855064,-13.26053215889035,3.921034106324647e-40
Gerber,decay:z_momentum,0.004112464639772855,0.0003004399753869351,13.68814064931417,1.1952887160860427e-42
