crisis,estimator,model,regressor,coef_no_fe,t_no_fe,p_no_fe,coef_fe,t_fe,p_fe,r2_no_fe,r2_fe
GFC,Sample,D,total_var,-7.065260,-2.004646,0.048006,-13.165771,-2.584998,0.011554,0.072868,0.150954
GFC,Sample,D,syst_share,-0.154871,-2.078284,0.040530,-0.183533,-2.039638,0.044687,0.072868,0.150954
GFC,Sample,E,syst_share,-0.171640,-2.232851,0.028067,-0.194369,-2.100307,0.038892,0.081291,0.154134
GFC,LW,D,total_var,-7.097065,-2.802117,0.006216,-11.761665,-3.277223,0.001552,0.145276,0.247398
GFC,LW,D,syst_share,-0.170607,-3.185870,0.001984,-0.191542,-3.020819,0.003384,0.145276,0.247398
GFC,LW,E,syst_share,-0.188337,-3.427740,0.000924,-0.204618,-3.149254,0.002311,0.162087,0.255664
GFC,Gerber,D,total_var,-8.483701,-1.770207,0.080079,-13.464457,-1.951975,0.054440,0.047570,0.134758
GFC,Gerber,D,syst_share,-0.148418,-1.464702,0.146487,-0.207034,-1.698835,0.093236,0.047570,0.134758
GFC,Gerber,E,syst_share,-0.166467,-1.589856,0.115413,-0.233486,-1.870824,0.065072,0.052992,0.145284
COVID,Sample,D,total_var,-40.597190,-1.740614,0.084922,-97.280149,-3.015972,0.003358,0.072403,0.187040
COVID,Sample,D,syst_share,-0.189928,-2.212591,0.029272,-0.368881,-2.981773,0.003717,0.072403,0.187040
COVID,Sample,E,syst_share,-0.191138,-2.212077,0.029333,-0.369178,-2.968678,0.003874,0.072961,0.188021
COVID,LW,D,total_var,-39.184705,-3.579176,0.000540,-63.193374,-4.429777,0.000027,0.225123,0.397096
COVID,LW,D,syst_share,-0.164744,-4.088663,0.000090,-0.208381,-3.808497,0.000260,0.225123,0.397096
COVID,LW,E,syst_share,-0.166130,-4.102151,0.000086,-0.208665,-3.802364,0.000267,0.227901,0.400505
COVID,Gerber,D,total_var,-30.064240,-1.509024,0.134543,-56.316652,-1.989486,0.049789,0.084188,0.152786
COVID,Gerber,D,syst_share,-0.194059,-2.646575,0.009489,-0.307588,-2.833073,0.005729,0.084188,0.152786
COVID,Gerber,E,syst_share,-0.194018,-2.627874,0.010004,-0.307648,-2.817313,0.006006,0.084189,0.152842
Rates,Sample,D,total_var,-43.476236,-1.373573,0.172741,-62.434670,-1.609013,0.111237,0.039963,0.085298
Rates,Sample,D,syst_share,-0.068056,-1.225380,0.223399,-0.143749,-1.626587,0.107442,0.039963,0.085298
Rates,Sample,E,syst_share,-0.077821,-1.398645,0.165142,-0.171218,-1.924124,0.057646,0.060427,0.114301
Rates,LW,D,total_var,-39.624794,-1.781691,0.077929,-55.598678,-2.050976,0.043278,0.078698,0.132239
Rates,LW,D,syst_share,-0.075829,-1.943144,0.054898,-0.141043,-2.284464,0.024778,0.078698,0.132239
Rates,LW,E,syst_share,-0.084439,-2.173463,0.032205,-0.164059,-2.658194,0.009366,0.109620,0.171820
Rates,Gerber,D,total_var,-63.562866,-1.089732,0.278531,-53.427388,-0.738186,0.462388,0.013459,0.037050
Rates,Gerber,D,syst_share,-0.019191,-0.187507,0.851655,-0.054922,-0.333183,0.739798,0.013459,0.037050
Rates,Gerber,E,syst_share,-0.031381,-0.304262,0.761587,-0.101473,-0.609629,0.543715,0.023108,0.062255
