ticker,total_var,syst_share,beta,momentum,amihud,log_dolvol,w,year,sec_CommSvcs,sec_ConsDis,sec_ConsStap,sec_Energy,sec_Financials,sec_HealthCare,sec_Industrials,sec_Materials,sec_RealEstate,sec_Utilities
AAPL,0.0005963658422590704,0.2622280971614923,1.86817074623308,0.8031705784205172,1.9786730126360202e-05,20.7134612856886,5.781998450139213e-07,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,0.00013833895982074575,0.11573836423108926,0.5977663972559222,-0.14482977474884337,6.612237047437283e-05,18.58141881698285,0.0037331856340877705,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACN,0.00022153424009582447,0.1721600265140034,0.9225866487962094,0.0789997505940295,0.0002341255527087741,17.653206042803557,0.00019764422205643636,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADBE,0.00042897902878439567,0.2039922380566179,1.397479440292928,0.1641803384939389,7.069504214238344e-05,19.095951268835293,6.986806409453818e-07,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,0.00019521343557717385,0.20221530040662405,0.9386040717551596,0.04711479963915502,2.8494105221741278e-05,19.634188261664956,1.7735684364073753e-06,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AMD,0.0009028116787586492,0.2013747677297187,2.0142885570454045,0.3290488693415916,9.669093209598866e-05,19.096049700593074,5.341213652886229e-07,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMGN,0.00025863496737358086,0.2138821122132292,1.1110955999792334,0.2064498543654968,2.7565049872611714e-05,19.784100428235856,2.3708757981703524e-06,2005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AMT,0.00017106476603220966,0.18257074292275452,0.8348653764209173,0.3871833071131184,0.00030620129743233286,17.61691665609689,0.015740144900132196,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AMZN,0.0005120145548612808,0.20471511321961267,1.5294549217549571,0.06257514590038304,4.811521014031731e-05,19.48061922002194,6.516298545782142e-07,2005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXP,0.00011731903558124047,0.36364743837346064,0.9757646568701793,0.05122851193549591,3.9046647707593884e-05,19.130524635017796,3.0213259068869557e-06,2005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
